week_key,season,week,contestant,estimated_fan_vote,fan_rank,method
1_1,1,1,John O'Hurley,0.16666666666666669,1,constraint_optimization
1_1,1,1,Kelly Monaco,0.16666666666666669,2,constraint_optimization
1_1,1,1,Evander Holyfield,0.16666666666666669,3,constraint_optimization
1_1,1,1,Rachel Hunter,0.16666666666666669,4,constraint_optimization
1_1,1,1,Joey McIntyre,0.16666666666666669,5,constraint_optimization
1_1,1,1,Trista Sutter,0.16666666666666669,6,constraint_optimization
1_2,1,2,John O'Hurley,0.16666515693766204,6,constraint_optimization
1_2,1,2,Kelly Monaco,0.16666606876859832,5,constraint_optimization
1_2,1,2,Evander Holyfield,0.16666751657642698,2,constraint_optimization
1_2,1,2,Rachel Hunter,0.16666658140037124,4,constraint_optimization
1_2,1,2,Joey McIntyre,0.16666705627723216,3,constraint_optimization
1_2,1,2,Trista Sutter,0.16666762003970936,1,constraint_optimization
1_3,1,3,John O'Hurley,0.2836879432624113,2,constraint_optimization
1_3,1,3,Kelly Monaco,0.14184397163120566,4,constraint_optimization
1_3,1,3,Evander Holyfield,0.0070921985815602835,5,constraint_optimization
1_3,1,3,Rachel Hunter,0.35460992907801414,1,constraint_optimization
1_3,1,3,Joey McIntyre,0.21276595744680848,3,constraint_optimization
1_4,1,4,John O'Hurley,0.2500000000490785,3,constraint_optimization
1_4,1,4,Kelly Monaco,0.2499999992168991,4,constraint_optimization
1_4,1,4,Rachel Hunter,0.25000000068402733,1,constraint_optimization
1_4,1,4,Joey McIntyre,0.25000000004999506,2,constraint_optimization
1_5,1,5,John O'Hurley,0.5928853754940712,1,constraint_optimization
1_5,1,5,Kelly Monaco,0.3952569169960474,2,constraint_optimization
1_5,1,5,Joey McIntyre,0.011857707509881424,3,constraint_optimization
1_6,1,6,John O'Hurley,0.5,1,constraint_optimization
1_6,1,6,Kelly Monaco,0.5,2,constraint_optimization
2_1,2,1,Tatum O'Neal,0.1660516605166052,2,constraint_optimization
2_1,2,1,Tia Carrere,0.0922509225092251,6,constraint_optimization
2_1,2,1,George Hamilton,0.05535055350553506,8,constraint_optimization
2_1,2,1,Lisa Rinna,0.07380073800738009,7,constraint_optimization
2_1,2,1,Stacy Keibler,0.12915129151291516,4,constraint_optimization
2_1,2,1,Jerry Rice,0.11070110701107012,5,constraint_optimization
2_1,2,1,Giselle Fernandez,0.1660516605166052,3,constraint_optimization
2_1,2,1,Master P,0.018450184501845022,9,constraint_optimization
2_1,2,1,Drew Lachey,0.1845018450184502,1,constraint_optimization
2_1,2,1,Kenny Mayne,0.0036900369003690045,10,constraint_optimization
2_2,2,2,Tatum O'Neal,0.004074241738343142,9,constraint_optimization
2_2,2,2,Tia Carrere,0.11317338162064283,6,constraint_optimization
2_2,2,2,George Hamilton,0.11317338162064283,5,constraint_optimization
2_2,2,2,Lisa Rinna,0.06790402897238569,7,constraint_optimization
2_2,2,2,Stacy Keibler,0.2037120869171571,1,constraint_optimization
2_2,2,2,Jerry Rice,0.13580805794477138,4,constraint_optimization
2_2,2,2,Giselle Fernandez,0.15844273426889996,3,constraint_optimization
2_2,2,2,Master P,0.022634676324128564,8,constraint_optimization
2_2,2,2,Drew Lachey,0.1810774105930285,2,constraint_optimization
2_3,2,3,Tia Carrere,0.17564402810304452,3,constraint_optimization
2_3,2,3,George Hamilton,0.117096018735363,5,constraint_optimization
2_3,2,3,Lisa Rinna,0.14637002341920377,4,constraint_optimization
2_3,2,3,Stacy Keibler,0.234192037470726,1,constraint_optimization
2_3,2,3,Jerry Rice,0.0585480093676815,6,constraint_optimization
2_3,2,3,Giselle Fernandez,0.004683840749414521,8,constraint_optimization
2_3,2,3,Master P,0.02927400468384075,7,constraint_optimization
2_3,2,3,Drew Lachey,0.234192037470726,2,constraint_optimization
2_4,2,4,Tia Carrere,0.14214641080312723,4,constraint_optimization
2_4,2,4,George Hamilton,0.07107320540156362,6,constraint_optimization
2_4,2,4,Lisa Rinna,0.21321961620469085,3,constraint_optimization
2_4,2,4,Stacy Keibler,0.21321961620469085,2,constraint_optimization
2_4,2,4,Jerry Rice,0.10660980810234542,5,constraint_optimization
2_4,2,4,Master P,0.0049751243781094535,7,constraint_optimization
2_4,2,4,Drew Lachey,0.24875621890547267,1,constraint_optimization
2_5,2,5,Tia Carrere,0.005964214711729622,6,constraint_optimization
2_5,2,5,George Hamilton,0.14910536779324055,4,constraint_optimization
2_5,2,5,Lisa Rinna,0.19880715705765406,3,constraint_optimization
2_5,2,5,Stacy Keibler,0.2982107355864811,1,constraint_optimization
2_5,2,5,Jerry Rice,0.09940357852882703,5,constraint_optimization
2_5,2,5,Drew Lachey,0.2485089463220676,2,constraint_optimization
2_6,2,6,George Hamilton,0.007220216606498195,5,constraint_optimization
2_6,2,6,Lisa Rinna,0.18050541516245489,3,constraint_optimization
2_6,2,6,Stacy Keibler,0.36101083032490977,1,constraint_optimization
2_6,2,6,Jerry Rice,0.09025270758122744,4,constraint_optimization
2_6,2,6,Drew Lachey,0.36101083032490977,2,constraint_optimization
2_7,2,7,Lisa Rinna,0.00881057268722467,4,constraint_optimization
2_7,2,7,Stacy Keibler,0.44052863436123346,1,constraint_optimization
2_7,2,7,Jerry Rice,0.11013215859030837,3,constraint_optimization
2_7,2,7,Drew Lachey,0.44052863436123346,2,constraint_optimization
2_8,2,8,Stacy Keibler,0.3333333333333333,1,constraint_optimization
2_8,2,8,Jerry Rice,0.3333333333333333,2,constraint_optimization
2_8,2,8,Drew Lachey,0.3333333333333333,3,constraint_optimization
3_1,3,1,Harry Hamlin,0.09098823372903339,2,constraint_optimization
3_1,3,1,Vivica A. Fox,0.09091235547660649,7,constraint_optimization
3_1,3,1,Monique Coleman,0.09091235547660649,6,constraint_optimization
3_1,3,1,Joey Lawrence,0.0909123554766066,4,constraint_optimization
3_1,3,1,Mario Lopez,0.09091235547660646,9,constraint_optimization
3_1,3,1,Emmitt Smith,0.09091235547660648,8,constraint_optimization
3_1,3,1,Shanna Moakler,0.09091235547660657,5,constraint_optimization
3_1,3,1,Willa Ford,0.09091235547660671,3,constraint_optimization
3_1,3,1,Sara Evans,0.09089051108583453,10,constraint_optimization
3_1,3,1,Jerry Springer,0.09071372105398876,11,constraint_optimization
3_1,3,1,Tucker Carlson,0.09102104579489752,1,constraint_optimization
3_2,3,2,Harry Hamlin,0.09995127108055896,6,constraint_optimization
3_2,3,2,Vivica A. Fox,0.09995127108055901,3,constraint_optimization
3_2,3,2,Monique Coleman,0.09995127108055898,4,constraint_optimization
3_2,3,2,Joey Lawrence,0.09995127108055897,5,constraint_optimization
3_2,3,2,Mario Lopez,0.09995127108055891,9,constraint_optimization
3_2,3,2,Emmitt Smith,0.09995127108055904,2,constraint_optimization
3_2,3,2,Shanna Moakler,0.09317317654732936,10,constraint_optimization
3_2,3,2,Willa Ford,0.09995127108055896,7,constraint_optimization
3_2,3,2,Sara Evans,0.09995127108055894,8,constraint_optimization
3_2,3,2,Jerry Springer,0.10721665480819893,1,constraint_optimization
3_3,3,3,Harry Hamlin,0.10365286462735086,9,constraint_optimization
3_3,3,3,Vivica A. Fox,0.1110584628859462,3,constraint_optimization
3_3,3,3,Monique Coleman,0.11105846288594617,4,constraint_optimization
3_3,3,3,Joey Lawrence,0.11103443596698975,7,constraint_optimization
3_3,3,3,Mario Lopez,0.11105846365280597,2,constraint_optimization
3_3,3,3,Emmitt Smith,0.11914561825053926,1,constraint_optimization
3_3,3,3,Willa Ford,0.11105845968928561,6,constraint_optimization
3_3,3,3,Sara Evans,0.11105845968928577,5,constraint_optimization
3_3,3,3,Jerry Springer,0.11087477235185045,8,constraint_optimization
3_4,3,4,Vivica A. Fox,0.11456083279237317,8,constraint_optimization
3_4,3,4,Monique Coleman,0.1247296617765455,4,constraint_optimization
3_4,3,4,Joey Lawrence,0.12472966048727821,7,constraint_optimization
3_4,3,4,Mario Lopez,0.12472966048727825,6,constraint_optimization
3_4,3,4,Emmitt Smith,0.1247296617765455,5,constraint_optimization
3_4,3,4,Willa Ford,0.12472966177654557,3,constraint_optimization
3_4,3,4,Sara Evans,0.1357628529943934,1,constraint_optimization
3_4,3,4,Jerry Springer,0.12602800790904037,2,constraint_optimization
3_5,3,5,Monique Coleman,0.14288071049889134,4,constraint_optimization
3_5,3,5,Joey Lawrence,0.14314123026203954,3,constraint_optimization
3_5,3,5,Mario Lopez,0.14281494153567553,5,constraint_optimization
3_5,3,5,Emmitt Smith,0.14281483942130424,6,constraint_optimization
3_5,3,5,Willa Ford,0.1310658227207401,7,constraint_optimization
3_5,3,5,Sara Evans,0.14864204720524998,1,constraint_optimization
3_5,3,5,Jerry Springer,0.1486404083560993,2,constraint_optimization
3_6,3,6,Monique Coleman,0.2,1,constraint_optimization
3_6,3,6,Joey Lawrence,0.2,2,constraint_optimization
3_6,3,6,Mario Lopez,0.2,3,constraint_optimization
3_6,3,6,Emmitt Smith,0.2,4,constraint_optimization
3_6,3,6,Jerry Springer,0.2,5,constraint_optimization
3_7,3,7,Monique Coleman,0.19998276428604048,3,constraint_optimization
3_7,3,7,Joey Lawrence,0.19995998018422406,4,constraint_optimization
3_7,3,7,Mario Lopez,0.19998653754072274,2,constraint_optimization
3_7,3,7,Emmitt Smith,0.19995998011865357,5,constraint_optimization
3_7,3,7,Jerry Springer,0.20011073787035893,1,constraint_optimization
3_8,3,8,Monique Coleman,0.25000620861337014,1,constraint_optimization
3_8,3,8,Joey Lawrence,0.24999748191463966,3,constraint_optimization
3_8,3,8,Mario Lopez,0.2499974819146396,4,constraint_optimization
3_8,3,8,Emmitt Smith,0.24999882755735056,2,constraint_optimization
3_9,3,9,Joey Lawrence,0.332421482182245,3,constraint_optimization
3_9,3,9,Mario Lopez,0.3337892717633541,1,constraint_optimization
3_9,3,9,Emmitt Smith,0.33378924605440097,2,constraint_optimization
3_10,3,10,Mario Lopez,0.5,1,constraint_optimization
3_10,3,10,Emmitt Smith,0.5,2,constraint_optimization
4_1,4,1,John Ratzenberger,0.09090909090909091,1,constraint_optimization
4_1,4,1,Ian Ziering,0.09090909090909091,2,constraint_optimization
4_1,4,1,Clyde Drexler,0.09090909090909091,3,constraint_optimization
4_1,4,1,Laila Ali,0.09090909090909091,4,constraint_optimization
4_1,4,1,Apolo Anton Ohno,0.09090909090909091,5,constraint_optimization
4_1,4,1,Shandi Finnessey,0.09090909090909091,6,constraint_optimization
4_1,4,1,Paulina Porizkova,0.09090909090909091,7,constraint_optimization
4_1,4,1,Heather Mills,0.09090909090909091,8,constraint_optimization
4_1,4,1,Billy Ray Cyrus,0.09090909090909091,9,constraint_optimization
4_1,4,1,Joey Fatone,0.09090909090909091,10,constraint_optimization
4_1,4,1,Leeza Gibbons,0.09090909090909091,11,constraint_optimization
4_2,4,2,John Ratzenberger,0.09091002718494595,7,constraint_optimization
4_2,4,2,Ian Ziering,0.09091002718494597,6,constraint_optimization
4_2,4,2,Clyde Drexler,0.09765186954702829,1,constraint_optimization
4_2,4,2,Laila Ali,0.0909100271849459,8,constraint_optimization
4_2,4,2,Apolo Anton Ohno,0.09091002718494585,9,constraint_optimization
4_2,4,2,Shandi Finnessey,0.090660922589659,10,constraint_optimization
4_2,4,2,Paulina Porizkova,0.08440697158784462,11,constraint_optimization
4_2,4,2,Heather Mills,0.090910027184946,5,constraint_optimization
4_2,4,2,Billy Ray Cyrus,0.09091003328105039,3,constraint_optimization
4_2,4,2,Joey Fatone,0.09091003475273778,2,constraint_optimization
4_2,4,2,Leeza Gibbons,0.09091003231695026,4,constraint_optimization
4_3,4,3,John Ratzenberger,0.10000045803448121,9,constraint_optimization
4_3,4,3,Ian Ziering,0.10003241545533928,2,constraint_optimization
4_3,4,3,Clyde Drexler,0.11185422364915454,1,constraint_optimization
4_3,4,3,Laila Ali,0.10003241545533903,6,constraint_optimization
4_3,4,3,Apolo Anton Ohno,0.10003241545533917,5,constraint_optimization
4_3,4,3,Shandi Finnessey,0.08791844383264076,10,constraint_optimization
4_3,4,3,Heather Mills,0.1000324154553392,4,constraint_optimization
4_3,4,3,Billy Ray Cyrus,0.10003241545533927,3,constraint_optimization
4_3,4,3,Joey Fatone,0.1000323957819854,8,constraint_optimization
4_3,4,3,Leeza Gibbons,0.1000324014250422,7,constraint_optimization
4_4,4,4,John Ratzenberger,0.11109247888877409,8,constraint_optimization
4_4,4,4,Ian Ziering,0.11110414280453482,7,constraint_optimization
4_4,4,4,Clyde Drexler,0.11427289992600217,1,constraint_optimization
4_4,4,4,Laila Ali,0.11110414280453494,6,constraint_optimization
4_4,4,4,Apolo Anton Ohno,0.11110414838622228,2,constraint_optimization
4_4,4,4,Heather Mills,0.11110414838622215,5,constraint_optimization
4_4,4,4,Billy Ray Cyrus,0.11110414838622218,3,constraint_optimization
4_4,4,4,Joey Fatone,0.11110414838622217,4,constraint_optimization
4_4,4,4,Leeza Gibbons,0.10800974203126532,9,constraint_optimization
4_5,4,5,John Ratzenberger,0.12478246956342696,8,constraint_optimization
4_5,4,5,Ian Ziering,0.12493287635157707,4,constraint_optimization
4_5,4,5,Clyde Drexler,0.1254224582314291,1,constraint_optimization
4_5,4,5,Laila Ali,0.12493287635157707,3,constraint_optimization
4_5,4,5,Apolo Anton Ohno,0.12493287418646172,5,constraint_optimization
4_5,4,5,Heather Mills,0.12493287380054777,6,constraint_optimization
4_5,4,5,Billy Ray Cyrus,0.12513069771443275,2,constraint_optimization
4_5,4,5,Joey Fatone,0.12493287380054753,7,constraint_optimization
4_6,4,6,John Ratzenberger,0.1552191862941127,1,constraint_optimization
4_6,4,6,Ian Ziering,0.1423302187262812,6,constraint_optimization
4_6,4,6,Laila Ali,0.14256703215631064,4,constraint_optimization
4_6,4,6,Apolo Anton Ohno,0.14256703215631067,3,constraint_optimization
4_6,4,6,Heather Mills,0.1306897745294068,7,constraint_optimization
4_6,4,6,Billy Ray Cyrus,0.14405972451890034,2,constraint_optimization
4_6,4,6,Joey Fatone,0.14256703161867765,5,constraint_optimization
4_7,4,7,John Ratzenberger,0.15490248454992306,6,constraint_optimization
4_7,4,7,Ian Ziering,0.16663533105421188,3,constraint_optimization
4_7,4,7,Laila Ali,0.1666353310542119,2,constraint_optimization
4_7,4,7,Apolo Anton Ohno,0.1666353236975215,4,constraint_optimization
4_7,4,7,Billy Ray Cyrus,0.1785562062327709,1,constraint_optimization
4_7,4,7,Joey Fatone,0.16663532341136075,5,constraint_optimization
4_8,4,8,Ian Ziering,0.1999900278780354,5,constraint_optimization
4_8,4,8,Laila Ali,0.20000676479695206,2,constraint_optimization
4_8,4,8,Apolo Anton Ohno,0.19999424264289853,3,constraint_optimization
4_8,4,8,Billy Ray Cyrus,0.20001472203921555,1,constraint_optimization
4_8,4,8,Joey Fatone,0.1999942426428984,4,constraint_optimization
4_9,4,9,Ian Ziering,0.2499509716013137,3,constraint_optimization
4_9,4,9,Laila Ali,0.2500438958011629,2,constraint_optimization
4_9,4,9,Apolo Anton Ohno,0.24992810875794563,4,constraint_optimization
4_9,4,9,Joey Fatone,0.2500770238395778,1,constraint_optimization
4_10,4,10,Laila Ali,0.3333333333333333,1,constraint_optimization
4_10,4,10,Apolo Anton Ohno,0.3333333333333333,2,constraint_optimization
4_10,4,10,Joey Fatone,0.3333333333333333,3,constraint_optimization
5_1,5,1,Cameron Mathison,0.08334710032177,9,constraint_optimization
5_1,5,1,Jane Seymour,0.08334711260028874,3,constraint_optimization
5_1,5,1,Sabrina Bryan,0.0833471003217699,10,constraint_optimization
5_1,5,1,Jennie Garth,0.08334710032176981,11,constraint_optimization
5_1,5,1,Floyd Mayweather Jr. ,0.08343065333228124,2,constraint_optimization
5_1,5,1,Josie Maran,0.08355297328967314,1,constraint_optimization
5_1,5,1,Albert Reed,0.08334710033259292,8,constraint_optimization
5_1,5,1,Helio Castroneves,0.08334710033259293,7,constraint_optimization
5_1,5,1,Mel B,0.08334711232498741,4,constraint_optimization
5_1,5,1,Wayne Newton,0.08289242266701533,12,constraint_optimization
5_1,5,1,Marie Osmond,0.08334711207762942,5,constraint_optimization
5_1,5,1,Mark Cuban,0.08334711207762917,6,constraint_optimization
5_2,5,2,Cameron Mathison,0.0909911589239579,7,constraint_optimization
5_2,5,2,Jane Seymour,0.09099115892395794,4,constraint_optimization
5_2,5,2,Sabrina Bryan,0.09099115892395791,6,constraint_optimization
5_2,5,2,Jennie Garth,0.09099115892395798,3,constraint_optimization
5_2,5,2,Floyd Mayweather Jr. ,0.09099115892395794,5,constraint_optimization
5_2,5,2,Albert Reed,0.07713225979988418,11,constraint_optimization
5_2,5,2,Helio Castroneves,0.09099115892395786,9,constraint_optimization
5_2,5,2,Mel B,0.09099115892395784,10,constraint_optimization
5_2,5,2,Wayne Newton,0.10334234383349762,1,constraint_optimization
5_2,5,2,Marie Osmond,0.09099115892395787,8,constraint_optimization
5_2,5,2,Mark Cuban,0.09159612497495499,2,constraint_optimization
5_3,5,3,Cameron Mathison,0.100172363572089,1,constraint_optimization
5_3,5,3,Jane Seymour,0.09999289962339265,9,constraint_optimization
5_3,5,3,Sabrina Bryan,0.09999289962339272,6,constraint_optimization
5_3,5,3,Jennie Garth,0.0999928996233927,7,constraint_optimization
5_3,5,3,Floyd Mayweather Jr. ,0.09960562285715724,10,constraint_optimization
5_3,5,3,Helio Castroneves,0.09999290362631405,4,constraint_optimization
5_3,5,3,Mel B,0.09999289962339268,8,constraint_optimization
5_3,5,3,Wayne Newton,0.10014555073827536,2,constraint_optimization
5_3,5,3,Marie Osmond,0.09999290320814538,5,constraint_optimization
5_3,5,3,Mark Cuban,0.10011905750444822,3,constraint_optimization
5_4,5,4,Cameron Mathison,0.11107090831682197,6,constraint_optimization
5_4,5,4,Jane Seymour,0.11107092074284954,5,constraint_optimization
5_4,5,4,Sabrina Bryan,0.11107089206924148,7,constraint_optimization
5_4,5,4,Jennie Garth,0.1110708920692414,8,constraint_optimization
5_4,5,4,Floyd Mayweather Jr. ,0.10861504910130468,9,constraint_optimization
5_4,5,4,Helio Castroneves,0.11107092733653912,3,constraint_optimization
5_4,5,4,Mel B,0.11107093221032686,2,constraint_optimization
5_4,5,4,Marie Osmond,0.11107092477886618,4,constraint_optimization
5_4,5,4,Mark Cuban,0.11388855337480892,1,constraint_optimization
5_5,5,5,Cameron Mathison,0.12499676704336159,4,constraint_optimization
5_5,5,5,Jane Seymour,0.12499676704336159,5,constraint_optimization
5_5,5,5,Sabrina Bryan,0.12499676704336155,6,constraint_optimization
5_5,5,5,Jennie Garth,0.12518682860898395,2,constraint_optimization
5_5,5,5,Helio Castroneves,0.12466338125994743,7,constraint_optimization
5_5,5,5,Mel B,0.12499677546124466,3,constraint_optimization
5_5,5,5,Marie Osmond,0.12558135676986965,1,constraint_optimization
5_5,5,5,Mark Cuban,0.12458135676986964,8,constraint_optimization
5_6,5,6,Cameron Mathison,0.1428293751717136,6,constraint_optimization
5_6,5,6,Jane Seymour,0.15062436394203105,1,constraint_optimization
5_6,5,6,Sabrina Bryan,0.13295769727536438,7,constraint_optimization
5_6,5,6,Jennie Garth,0.14283484481640984,5,constraint_optimization
5_6,5,6,Helio Castroneves,0.14283484621389556,3,constraint_optimization
5_6,5,6,Mel B,0.14283484553784537,4,constraint_optimization
5_6,5,6,Marie Osmond,0.14508402704274026,2,constraint_optimization
5_7,5,7,Cameron Mathison,0.1670201334950526,1,constraint_optimization
5_7,5,7,Jane Seymour,0.16682914289646594,2,constraint_optimization
5_7,5,7,Jennie Garth,0.16665166292535896,5,constraint_optimization
5_7,5,7,Helio Castroneves,0.16619572799162477,6,constraint_optimization
5_7,5,7,Mel B,0.16665166910886606,3,constraint_optimization
5_7,5,7,Marie Osmond,0.1666516635826317,4,constraint_optimization
5_8,5,8,Cameron Mathison,0.19549264791198653,5,constraint_optimization
5_8,5,8,Jennie Garth,0.20065807941447314,2,constraint_optimization
5_8,5,8,Helio Castroneves,0.19988430173243543,3,constraint_optimization
5_8,5,8,Mel B,0.19986776029147577,4,constraint_optimization
5_8,5,8,Marie Osmond,0.2040972106496291,1,constraint_optimization
5_9,5,9,Jennie Garth,0.24523027185735125,4,constraint_optimization
5_9,5,9,Helio Castroneves,0.2499962252827837,2,constraint_optimization
5_9,5,9,Mel B,0.2499962224555053,3,constraint_optimization
5_9,5,9,Marie Osmond,0.25477728040435976,1,constraint_optimization
5_10,5,10,Helio Castroneves,0.3333333333333333,1,constraint_optimization
5_10,5,10,Mel B,0.3333333333333333,2,constraint_optimization
5_10,5,10,Marie Osmond,0.3333333333333333,3,constraint_optimization
6_1,6,1,Cristian de la Fuente,0.08333333333333333,1,constraint_optimization
6_1,6,1,Steve Guttenberg,0.08333333333333333,2,constraint_optimization
6_1,6,1,Priscilla Presley,0.08333333333333333,3,constraint_optimization
6_1,6,1,Marlee Matlin,0.08333333333333333,4,constraint_optimization
6_1,6,1,Shannon Elizabeth,0.08333333333333333,5,constraint_optimization
6_1,6,1,Marissa Jaret Winokur,0.08333333333333333,6,constraint_optimization
6_1,6,1,Jason Taylor,0.08333333333333333,7,constraint_optimization
6_1,6,1,Kristi Yamaguchi,0.08333333333333333,8,constraint_optimization
6_1,6,1,Monica Seles,0.08333333333333333,9,constraint_optimization
6_1,6,1,Penn Jillette,0.08333333333333333,10,constraint_optimization
6_1,6,1,Adam Carolla,0.08333333333333333,11,constraint_optimization
6_1,6,1,Mario,0.08333333333333333,12,constraint_optimization
6_2,6,2,Cristian de la Fuente,0.08332218864739883,5,constraint_optimization
6_2,6,2,Steve Guttenberg,0.0834341292958778,2,constraint_optimization
6_2,6,2,Priscilla Presley,0.08332218864739871,11,constraint_optimization
6_2,6,2,Marlee Matlin,0.08332218864739879,6,constraint_optimization
6_2,6,2,Shannon Elizabeth,0.08332218864739872,9,constraint_optimization
6_2,6,2,Marissa Jaret Winokur,0.08332218864739878,8,constraint_optimization
6_2,6,2,Jason Taylor,0.08332218864739872,10,constraint_optimization
6_2,6,2,Kristi Yamaguchi,0.08332218864739879,7,constraint_optimization
6_2,6,2,Monica Seles,0.0835051559503027,1,constraint_optimization
6_2,6,2,Penn Jillette,0.08305184600122321,12,constraint_optimization
6_2,6,2,Adam Carolla,0.08343135864202013,3,constraint_optimization
6_2,6,2,Mario,0.0833221895787849,4,constraint_optimization
6_3,6,3,Cristian de la Fuente,0.10000033648723264,7,constraint_optimization
6_3,6,3,Steve Guttenberg,0.09511268901288321,10,constraint_optimization
6_3,6,3,Priscilla Presley,0.1000003364872326,8,constraint_optimization
6_3,6,3,Marlee Matlin,0.1000003364872327,4,constraint_optimization
6_3,6,3,Shannon Elizabeth,0.1000003364872327,5,constraint_optimization
6_3,6,3,Marissa Jaret Winokur,0.1048846188374446,1,constraint_optimization
6_3,6,3,Jason Taylor,0.10000033648723275,3,constraint_optimization
6_3,6,3,Kristi Yamaguchi,0.10000033648723267,6,constraint_optimization
6_3,6,3,Adam Carolla,0.10000033403638517,9,constraint_optimization
6_3,6,3,Mario,0.10000033918989101,2,constraint_optimization
6_4,6,4,Cristian de la Fuente,0.11108112795139366,7,constraint_optimization
6_4,6,4,Priscilla Presley,0.11144354375223621,1,constraint_optimization
6_4,6,4,Marlee Matlin,0.11108113390171781,3,constraint_optimization
6_4,6,4,Shannon Elizabeth,0.11108113390171774,4,constraint_optimization
6_4,6,4,Marissa Jaret Winokur,0.11114917867258385,2,constraint_optimization
6_4,6,4,Jason Taylor,0.11108112912925654,6,constraint_optimization
6_4,6,4,Kristi Yamaguchi,0.1110811291292566,5,constraint_optimization
6_4,6,4,Adam Carolla,0.110920495610444,9,constraint_optimization
6_4,6,4,Mario,0.11108112795139355,8,constraint_optimization
6_5,6,5,Cristian de la Fuente,0.12504623969315065,4,constraint_optimization
6_5,6,5,Priscilla Presley,0.12484355680618585,8,constraint_optimization
6_5,6,5,Marlee Matlin,0.12487901617574021,7,constraint_optimization
6_5,6,5,Shannon Elizabeth,0.12504623969315068,1,constraint_optimization
6_5,6,5,Marissa Jaret Winokur,0.12504623969315068,2,constraint_optimization
6_5,6,5,Jason Taylor,0.12504623412273572,5,constraint_optimization
6_5,6,5,Kristi Yamaguchi,0.12504623969315068,3,constraint_optimization
6_5,6,5,Mario,0.12504623412273555,6,constraint_optimization
6_6,6,6,Cristian de la Fuente,0.14296080675232978,1,constraint_optimization
6_6,6,6,Marlee Matlin,0.14246552088795364,7,constraint_optimization
6_6,6,6,Shannon Elizabeth,0.14273044925774186,6,constraint_optimization
6_6,6,6,Marissa Jaret Winokur,0.14296080489428206,5,constraint_optimization
6_6,6,6,Jason Taylor,0.14296080606923095,2,constraint_optimization
6_6,6,6,Kristi Yamaguchi,0.14296080606923087,4,constraint_optimization
6_6,6,6,Mario,0.14296080606923095,3,constraint_optimization
